program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P3	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	0.0389374106576067	0.295815705077249	-0.548664147826076	0.62653896914129	0.895569705860464	COMPLETED	0.961942097882373
P3	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	-0.0084403003859939	0.253266303188218	-0.512001563060524	0.495120962288536	0.973492918195456	COMPLETED	0.981168781084675
P3	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.122516058937141	0.261835878272852	-0.643115932733165	0.398083814858884	0.641045304882468	COMPLETED	0.948517192714509
P3	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	0.0117401935564338	0.22938435635477	-0.444337360661074	0.467817747773942	0.95930112429214	COMPLETED	0.981168781084675
P3	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	-0.208769399091342	0.230637370982856	-0.667338282081474	0.249799483898789	0.367926195048074	COMPLETED	0.948517192714509
P3	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.138872541417295	0.265721423503028	-0.667197920097528	0.389452837262939	0.602595111896348	COMPLETED	0.948517192714509
P3	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	0.16171853720623	0.243467094817359	-0.322359273945838	0.645796348358297	0.508339972119129	COMPLETED	0.948517192714509
P3	evoked	95	treatmentAZD2423 150 mg:xb_z	-0.0285454604198893	0.250313132370897	-0.526235028333041	0.469144107493262	0.909475809433481	COMPLETED	0.961942097882373
P3	evoked	95	treatmentAZD2423 20 mg:xb_z	-0.0438912128329404	0.241530816399485	-0.52411918374681	0.436336758080929	0.856234367903088	COMPLETED	0.961385956943818
P3	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	0.244757087923626	0.263107559963691	-0.278371229766819	0.767885405614071	0.354873638674835	COMPLETED	0.948517192714509
P3	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	0.297356919129328	0.239342750899916	-0.17852059137229	0.773234429630946	0.217509606048506	COMPLETED	0.948517192714509
P4	npsi_total	95	treatmentAZD2423 150 mg:xb_z	-0.329182311930878	0.272348501967497	-0.87068409804235	0.212319474180594	0.230137272759448	COMPLETED	0.948517192714509
P4	npsi_total	95	treatmentAZD2423 20 mg:xb_z	-0.224330391350132	0.288317328352274	-0.79758248248253	0.348921699782265	0.438689564938525	COMPLETED	0.948517192714509
P4	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.314116463446625	0.271625539616883	-0.853667229898231	0.22543430300498	0.250531410289989	COMPLETED	0.948517192714509
P4	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.133674849026101	0.267624209005166	-0.665277463763316	0.397927765711113	0.618641768134632	COMPLETED	0.948517192714509
P4	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.218235745193149	0.302914860893109	-0.819938904605114	0.383467414218816	0.473093095183578	COMPLETED	0.948517192714509
P4	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.178728211650345	0.298911659291264	-0.772479502855873	0.415023079555182	0.551371912468111	COMPLETED	0.948517192714509
P4	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	-0.191850233265539	0.287123549738683	-0.762728772691903	0.379028306160825	0.505829039803716	COMPLETED	0.948517192714509
P4	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.0612642647649669	0.302310270325396	-0.662338073353715	0.539809543823782	0.839890086360994	COMPLETED	0.961385956943818
P4	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	-0.0141675482972834	0.283613528163381	-0.578067224470921	0.549732127876354	0.96027647319967	COMPLETED	0.981168781084675
P4	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	0.138239556574145	0.300495228958386	-0.459225463513834	0.735704576662125	0.646662778663966	COMPLETED	0.948517192714509
P4	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.262713399013512	0.26675659966754	-0.793096985240231	0.267670187213207	0.327496211579281	COMPLETED	0.948517192714509
P4	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	-0.192192783498138	0.272033715714767	-0.733068690205591	0.348683123209315	0.481807238979291	COMPLETED	0.948517192714509
P4	evoked	95	treatmentAZD2423 150 mg:xb_z	-0.358327701320522	0.26706404798874	-0.88932257717749	0.172667174536445	0.183257219396707	COMPLETED	0.948517192714509
P4	evoked	95	treatmentAZD2423 20 mg:xb_z	-0.398321798319025	0.270926836616467	-0.936996932837872	0.140353336199821	0.145194480247406	COMPLETED	0.948517192714509
P4	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	-0.232283349530722	0.316721172012037	-0.862009891460828	0.397443192399384	0.46533239050187	COMPLETED	0.948517192714509
P4	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	-0.16717386868505	0.332191777840544	-0.827660119693206	0.493312382323106	0.616093617228459	COMPLETED	0.948517192714509
P6	npsi_total	95	treatmentAZD2423 150 mg:xb_z	-0.0785286611517996	0.3335149219631	-0.741645677155802	0.584588354852203	0.814419857761956	COMPLETED	0.959756822463525
P6	npsi_total	95	treatmentAZD2423 20 mg:xb_z	-0.139434864797464	0.301107556816942	-0.738117356715464	0.459247627120536	0.644495284141445	COMPLETED	0.948517192714509
P6	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.179921384143244	0.364170398202475	-0.90330114344817	0.543458375161682	0.622455537966285	COMPLETED	0.948517192714509
