raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
NHLRC1	NHLRC1	False	378884	official_exact	NHLRC1	True
SIX1	SIX1	False	6495	official_exact	SIX1	True
PALMD	PALMD	False	54873	official_exact	PALMD	True
RNF103-CHMP3	RNF103-CHMP3	False	100526767	official_exact	RNF103-CHMP3	True
NPPC	NPPC	False	4880	official_exact	NPPC	True
HES6	HES6	False	55502	official_exact	HES6	True
IRAK1BP1	IRAK1BP1	False	134728	official_exact	IRAK1BP1	True
SPRY2	SPRY2	False	10253	official_exact	SPRY2	True
HAMP	HAMP	False	57817	official_exact	HAMP	True
SPATA18	SPATA18	False	132671	official_exact	SPATA18	True
ATG101	ATG101	False	60673	official_exact	ATG101	True
BHLHE40	BHLHE40	False	8553	official_exact	BHLHE40	True
SEPTIN11	SEPTIN11	False	55752	official_exact	SEPTIN11	True
GPIHBP1	GPIHBP1	False	338328	official_exact	GPIHBP1	True
ROR2	ROR2	False	4920	official_exact	ROR2	True
GATB	GATB	False	5188	official_exact	GATB	True
CFHR4	CFHR4	False	10877	official_exact	CFHR4	True
