module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	129684	CNTNAP5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1297	COL9A1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	129807	NEU4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	129880	BBS5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1301	COL11A1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	130271	PLEKHH2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	130367	SGPP2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	130399	ACVR1C	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	130888	FBXO36	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	131034	CPNE4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	131096	KCNH8	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	131368	ZPLD1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	131583	FAM43A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1316	KLF6	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1317	SLC31A1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	131873	COL6A6	down	late_allcell_DPN_vs_diabetes
