family	parent	gene_id	symbol	direction	bin	partner_direction	partner_status
late_allcell	original_late_allcell	29978	UBQLN2	down	residual	absent	absent
late_allcell	original_late_allcell	29993	PACSIN1	down	residual	absent	absent
late_allcell	original_late_allcell	29995	LMCD1	up	residual	absent	absent
late_allcell	original_late_allcell	29998	BICRA	up	residual	absent	absent
late_allcell	original_late_allcell	30012	TLX3	down	residual	absent	absent
late_allcell	original_late_allcell	3005	H1-0	up	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	3009	H1-5	up	residual	absent	absent
late_allcell	original_late_allcell	3015	H2AZ1	down	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	3036	HAS1	down	residual	absent	absent
late_allcell	original_late_allcell	3037	HAS2	up	residual	absent	absent
