raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
MIR1251	MIR1251	False	100302289	official_exact	MIR1251	True
MIR1252	MIR1252	False	100302136	official_exact	MIR1252	True
MIR1253	MIR1253	False	100302208	official_exact	MIR1253	True
MIR1256	MIR1256	False	100302155	official_exact	MIR1256	True
MIR1257	MIR1257	False	100302168	official_exact	MIR1257	True
MIR1258	MIR1258	False	100302172	official_exact	MIR1258	True
MIR125A	MIR125A	False	406910	official_exact	MIR125A	True
MIR125B1	MIR125B1	False	406911	official_exact	MIR125B1	True
MIR125B2	MIR125B2	False	406912	official_exact	MIR125B2	True
MIR126	MIR126	False	406913	official_exact	MIR126	True
MIR1260A	MIR1260A	False	100302236	official_exact	MIR1260A	True
