endpoint	version	module_id	status	n_total	n_positive	n_negative	mean_difference	ci_low	ci_high	t	p	hedges_g	fixed_direction_auc	missing	exact	permutations	reason	q_BH_common_method
original_JCI_sural_DPN_control	legacy_inherited	late_neuron_residual	COMPLETED	12.0	6.0	6.0	0.0214189225849315	0.0067511863657621	0.0368402384292888	2.5021869827900813	0.0281385281385281	1.3335123028399671	0.8888888888888888	0.0	True	924.0		0.0468975468975469
original_JCI_sural_DPN_control	legacy_inherited	late_shared_concordant_neuronal_core	COMPLETED	12.0	6.0	6.0	-0.0014769879958832	-0.024107640027338	0.0198910098464268	-0.119025656373482	0.9047619047619048	-0.0634333797671093	0.5277777777777778	0.0	True	924.0		0.9047619047619048
original_JCI_sural_DPN_control	legacy_inherited	original_early_allcell	COMPLETED	12.0	6.0	6.0	-0.050492138121548	-0.0746468093286362	-0.0320798594766936	-4.256203736317614	0.0021645021645021	-2.2682957288204912	0.0	0.0	True	924.0		0.0162337662337662
original_JCI_sural_DPN_control	legacy_inherited	original_late_allcell	COMPLETED	12.0	6.0	6.0	-0.0354978919241008	-0.0662445324033716	-0.013464434131935	-2.2500228440422854	0.0064935064935064	-1.1991242720221116	0.0555555555555555	0.0	True	924.0		0.0162337662337662
original_JCI_sural_DPN_control	legacy_inherited	original_late_neuron	COMPLETED	12.0	6.0	6.0	0.0167775223160587	0.00381605872051	0.0307202915318177	2.160203208936016	0.0584415584415584	1.1512559115540024	0.7777777777777778	0.0	True	924.0		0.0834879406307977
original_JCI_sural_DPN_control	legacy_inherited	original_severity	COMPLETED	12.0	6.0	6.0	-0.0151382549974031	-0.0275689437893463	-0.0053854147377184	-2.323662522643539	0.0194805194805194	-1.2383697073422388	0.0833333333333333	0.0	True	924.0		0.0389610389610389
original_JCI_sural_DPN_control	legacy_inherited	original_xenium	COMPLETED	12.0	6.0	6.0	0.0067430167990032	-0.0190805415450226	0.0333130532428402	0.4773098440382793	0.6363636363636364	0.2543768925621774	0.6388888888888888	0.0	True	924.0		0.7070707070707071
original_JCI_sural_DPN_control	legacy_inherited	severity_neuron_residual	COMPLETED	12.0	6.0	6.0	-0.0170945008394953	-0.028437525013247	-0.0078575828152559	-2.8166186855862354	0.0043290043290043	-1.5010851289179163	0.0277777777777777	0.0	True	924.0		0.0162337662337662
original_JCI_sural_DPN_control	legacy_inherited	severity_neuron_shared_concordant_core	COMPLETED	12.0	6.0	6.0	-0.005403106716167	-0.021619889968559	0.0093882197861663	-0.6222766639594692	0.538961038961039	-0.3316353225668509	0.5	0.0	True	924.0		0.6737012987012987
original_JCI_sural_DPN_control	repaired_inherited	late_allcell_residual	COMPLETED	12.0	6.0	6.0	-0.0368904057703568	-0.0694492251067218	-0.0148639818515115	-2.283162780569873	0.0043290043290043	-1.216785827045309	0.0277777777777777	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_inherited	late_neuron_residual	COMPLETED	12.0	6.0	6.0	0.0266283726709655	0.0059984152447272	0.0480332096936088	2.2061099748889315	0.0584415584415584	1.1757214041821935	0.8611111111111112	0.0	True	924.0		0.0751391465677179
original_JCI_sural_DPN_control	repaired_inherited	late_shared_concordant_neuronal_core	COMPLETED	12.0	6.0	6.0	0.0098210312954184	-0.0142070201051243	0.0342915122734472	0.7106323463026017	0.4826839826839826	0.3787234859378423	0.6111111111111112	0.0	True	924.0		0.5430194805194806
