PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	human_gene_id	current_symbol	gene_mapping_method	detected_sample_n	detection_fraction	median_log2_intensity_observed	selected_gene_representative	passes_detection_50pct	source_row
ST14	Suppressor of tumorigenicity 14 protein	Q9Y5Y6	6768	ST14	official_exact	19	0.40425531914893614	4.135748264658697	True	False	1688
STAT1	Signal transducer and activator of transcription 1-alpha/beta	P42224	6772	STAT1	official_exact	13	0.2765957446808511	5.9208052369916775	True	False	864
STAT3	Signal transducer and activator of transcription 3;Isoform Del-701 of Signal transducer and activator of transcription 3;Isoform 3 of Signal transducer and activator of transcription 3	P40763;P40763-2;P40763-3	6774	STAT3	official_exact	3	0.06382978723404255	2.6975477245445076	True	False	856
STAU1	Double-stranded RNA-binding protein Staufen homolog 1;Isoform Short of Double-stranded RNA-binding protein Staufen homolog 1	O95793;O95793-2	6780	STAU1	official_exact	46	0.9787234042553191	4.581169005788564	True	True	231
HSPA13	Heat shock 70 kDa protein 13	P48723	6782	HSPA13	official_exact	47	1.0	6.018640132542717	True	True	897
STIM1	Stromal interaction molecule 1;Isoform 2 of Stromal interaction molecule 1	Q13586;Q13586-2	6786	STIM1	official_exact	8	0.1702127659574468	4.242861751052674	True	False	1199
STX3	Syntaxin-3;Isoform B of Syntaxin-3;Isoform 3 of Syntaxin-3	Q13277;Q13277-2;Q13277-3	6809	STX3	official_exact	6	0.1276595744680851	4.15116034490868	True	False	1184
STXBP2	Syntaxin-binding protein 2;Isoform 2 of Syntaxin-binding protein 2;Isoform 3 of Syntaxin-binding protein 2	Q15833;Q15833-2;Q15833-3	6813	STXBP2	official_exact	4	0.0851063829787234	3.779958623964797	True	False	1267
SULT2B1	Sulfotransferase 2B1;Isoform 2 of Sulfotransferase 2B1	O00204;O00204-2	6820	SULT2B1	official_exact	9	0.19148936170212766	4.489461274377288	True	False	86
BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2;Isoform 2 of ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	Q10588;Q10588-2	683	BST1	official_exact	8	0.1702127659574468	5.399660269392104	True	False	1163
BTD	Biotinidase;Isoform 2 of Biotinidase;Isoform 3 of Biotinidase;Isoform 4 of Biotinidase	P43251;P43251-2;P43251-3;P43251-4	686	BTD	official_exact	47	1.0	6.194449981330898	True	True	871
TALDO1	Transaldolase	P37837	6888	TALDO1	official_exact	40	0.851063829787234	5.637514721788937	True	True	841
TAPBP	Tapasin;Isoform 2 of Tapasin;Isoform 3 of Tapasin	O15533;O15533-2;O15533-3	6892	TAPBP	official_exact	12	0.2553191489361702	5.319108469874548	True	False	131
TBCA	Tubulin-specific chaperone A;Isoform 2 of Tubulin-specific chaperone A	O75347;O75347-2	6902	TBCA	official_exact	6	0.1276595744680851	4.465128715905237	True	False	183
ELOC	Elongin-C	Q15369	6921	ELOC	official_exact	4	0.0851063829787234	4.343064997556531	True	False	1254
ELOB	Elongin-B;Isoform 2 of Elongin-B	Q15370;Q15370-2	6923	ELOB	official_exact	7	0.14893617021276595	4.786117842002477	True	False	1255
GCFC2	Isoform 4 of Intron Large complex component GCFC2	P16383-4	6936	GCFC2	official_exact	23	0.48936170212765956	8.382500150487983	True	False	626
TCN1	Transcobalamin-1	P20061	6947	TCN1	official_exact	47	1.0	7.611509807405007	True	True	665
TCN2	Transcobalamin-2	P20062	6948	TCN2	official_exact	41	0.8723404255319149	4.915235594178367	True	True	666
TCP1	T-complex protein 1 subunit alpha	P17987	6950	TCP1	official_exact	15	0.3191489361702128	4.683239338913904	True	False	643
TF	Serotransferrin	P02787	7018	TF	official_exact	47	1.0	6.880561993494643	True	True	349
TFF1	Trefoil factor 1	P04155	7031	TFF1	official_exact	40	0.851063829787234	5.924184398518843	True	True	365
TFF3	Trefoil factor 3	Q07654	7033	TFF3	official_exact	32	0.6808510638297872	6.097760338058226	True	True	1146
TGFB2	Transforming growth factor beta-2 proprotein;Isoform B of Transforming growth factor beta-2 proprotein	P61812;P61812-2	7042	TGFB2	official_exact	26	0.5531914893617021	4.8618642019687055	True	True	1019
TGFBI	Transforming growth factor-beta-induced protein ig-h3	Q15582	7045	TGFBI	official_exact	30	0.6382978723404256	3.7585016442002637	True	True	1261
TGM1	Protein-glutamine gamma-glutamyltransferase K	P22735	7051	TGM1	official_exact	19	0.40425531914893614	5.315553840346829	True	False	698
TGM2	Protein-glutamine gamma-glutamyltransferase 2	P21980	7052	TGM2	official_exact	32	0.6808510638297872	5.4342101495000215	True	True	687
TGM3	Protein-glutamine gamma-glutamyltransferase E	Q08188	7053	TGM3	official_exact	37	0.7872340425531915	4.922893583026504	True	True	1150
THBS1	Thrombospondin-1	P07996	7057	THBS1	official_exact	47	1.0	5.83548993049085	True	True	451
TIMP1	Metalloproteinase inhibitor 1	P01033	7076	TIMP1	official_exact	47	1.0	7.378613829895093	True	True	273
TIMP2	Metalloproteinase inhibitor 2	P16035	7077	TIMP2	official_exact	43	0.9148936170212766	5.0856627395026015	True	True	621
C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	Q07021	708	C1QBP	official_exact	4	0.0851063829787234	4.1107013300268225	True	False	1144
TKT	Transketolase;Isoform 2 of Transketolase	P29401;P29401-2	7086	TKT	official_exact	31	0.6595744680851063	5.108532592300744	True	True	757
TLN1	Talin-1	Q9Y490	7094	TLN1	official_exact	14	0.2978723404255319	3.5091190620245563	True	False	1685
TLR2	Toll-like receptor 2	O60603	7097	TLR2	official_exact	46	0.9787234042553191	5.705255544449272	True	True	166
ACTG1	Actin, cytoplasmic 2	P63261	71	ACTG1	official_exact	12	0.2553191489361702	4.932938063824684	True	False	1072
SERPING1	Plasma protease C1 inhibitor;Isoform 2 of Plasma protease C1 inhibitor;Isoform 3 of Plasma protease C1 inhibitor	P05155;P05155-2;P05155-3	710	SERPING1	official_exact	45	0.9574468085106383	5.987544980201005	True	True	393
TMSB4X	Thymosin beta-4	P62328	7114	TMSB4X	official_exact	45	0.9574468085106383	6.3494538862442695	True	True	1037
C1QA	Complement C1q subcomponent subunit A	P02745	712	C1QA	official_exact	2	0.0425531914893617	5.888286447166443	True	False	334
CLEC3B	Tetranectin	P05452	7123	CLEC3B	official_exact	44	0.9361702127659575	4.986899167735171	True	True	402
C1QB	Complement C1q subcomponent subunit B	P02746	713	C1QB	official_exact	7	0.14893617021276595	4.802633602965254	True	False	335
C1QC	Complement C1q subcomponent subunit C	P02747	714	C1QC	official_exact	11	0.23404255319148937	4.5850033175931975	True	False	336
TNS1	Tensin-1	Q9HBL0	7145	TNS1	official_exact	20	0.425531914893617	3.194290759656923	True	False	1562
C1R	Complement C1r subcomponent	P00736	715	C1R	official_exact	41	0.8723404255319149	5.4640743009582105	True	True	256
C1S	Complement C1s subcomponent	P09871	716	C1S	official_exact	16	0.3404255319148936	4.493228009491844	True	False	494
TPD52	Tumor protein D52;Isoform 2 of Tumor protein D52;Isoform 3 of Tumor protein D52;Isoform 4 of Tumor protein D52;Isoform 5 of Tumor protein D52;Isoform 6 of Tumor protein D52;Isoform 7 of Tumor protein D52	P55327;P55327-2;P55327-3;P55327-4;P55327-5;P55327-6;P55327-7	7163	TPD52	official_exact	22	0.46808510638297873	4.24074611985963	True	False	982
TPD52L2	Tumor protein D54;Isoform 2 of Tumor protein D54;Isoform 3 of Tumor protein D54;Isoform 4 of Tumor protein D54;Isoform 5 of Tumor protein D54;Isoform 6 of Tumor protein D54;Isoform 7 of Tumor protein D54	O43399;O43399-2;O43399-3;O43399-4;O43399-5;O43399-6;O43399-7	7165	TPD52L2	official_exact	4	0.0851063829787234	4.7895174589268805	True	False	142
TPI1	Triosephosphate isomerase;Isoform 2 of Triosephosphate isomerase	P60174;P60174-3	7167	TPI1	official_exact	47	1.0	5.6343679374870845	True	True	997
C2	Complement C2	P06681	717	C2	official_exact	35	0.7446808510638298	4.5079690467306275	True	True	413
TPM3	Isoform 2 of Tropomyosin alpha-3 chain;Isoform 5 of Tropomyosin alpha-3 chain	P06753-2;P06753-5	7170	TPM3	official_exact	42	0.8936170212765957	4.991240226627855	True	True	422
TPM4	Isoform 2 of Tropomyosin alpha-4 chain	P67936-2	7171	TPM4	official_exact	14	0.2978723404255319	4.771216763040722	True	False	1076
TPT1	Translationally-controlled tumor protein	P13693	7178	TPT1	official_exact	12	0.2553191489361702	4.344944832502787	True	False	581
C3	Complement C3	P01024	718	C3	official_exact	47	1.0	7.23716181051252	True	True	271
CRISP2	Cysteine-rich secretory protein 2;Isoform 2 of Cysteine-rich secretory protein 2	P16562;P16562-2	7180	CRISP2	official_exact	6	0.1276595744680851	3.508016372665169	True	False	629
HSP90B1	Endoplasmin	P14625	7184	HSP90B1	official_exact	46	0.9787234042553191	5.166276069604216	True	True	599
C4A	Complement C4-A	P0C0L4	720	C4A	official_exact	46	0.9787234042553191	5.420613480950605	True	True	498
CCT3	T-complex protein 1 subunit gamma;Isoform 2 of T-complex protein 1 subunit gamma	P49368;P49368-2	7203	CCT3	official_exact	14	0.2978723404255319	4.957044913616404	True	False	904
C4B	Complement C4-B	P0C0L5	721	C4B	official_exact	16	0.3404255319148936	5.380793333711833	True	False	499
C4BPA	C4b-binding protein alpha chain	P04003	722	C4BPA	official_exact	24	0.5106382978723404	4.781772955960111	True	True	356
TSN	Translin	Q15631	7247	TSN	official_exact	3	0.06382978723404255	5.523941165337747	True	False	1262
TSG101	Tumor susceptibility gene 101 protein	Q99816	7251	TSG101	official_exact	23	0.48936170212765956	5.1802057142342575	True	False	1500
TSNAX	Translin-associated protein X	Q99598	7257	TSNAX	official_exact	1	0.02127659574468085	4.049934109508718	True	False	1495
CAPN5	Calpain-5	O15484	726	CAPN5	official_exact	8	0.1702127659574468	4.804241286045864	True	False	129
GFUS	GDP-L-fucose synthase	Q13630	7264	GFUS	official_exact	12	0.2553191489361702	5.077950435520852	True	False	1200
C5	Complement C5	P01031	727	C5	official_exact	9	0.19148936170212766	4.755430406368303	True	False	272
TTR	Transthyretin	P02766	7276	TTR	official_exact	46	0.9787234042553191	6.839574244444533	True	True	345
TUBA4A	Tubulin alpha-4A chain;Isoform 2 of Tubulin alpha-4A chain	P68366;P68366-2	7277	TUBA4A	official_exact	16	0.3404255319148936	5.894925688048522	True	False	1080
MUC5B	Mucin-5B	Q9HC84	727897	MUC5B	official_exact	41	0.8723404255319149	5.286122002919359	True	True	1565
TUBB2A	Tubulin beta-2A chain	Q13885	7280	TUBB2A	official_exact	7	0.14893617021276595	3.466543647506875	True	False	1207
TUFM	Elongation factor Tu, mitochondrial	P49411	7284	TUFM	official_exact	14	0.2978723404255319	4.053036840022382	True	False	906
TUFT1	Tuftelin;Isoform 2 of Tuftelin;Isoform 3 of Tuftelin	Q9NNX1;Q9NNX1-2;Q9NNX1-3	7286	TUFT1	official_exact	2	0.0425531914893617	5.185123381811354	True	False	1569
C6	Complement component C6	P13671	729	C6	official_exact	5	0.10638297872340426	5.4317753241302915	True	False	578
TXN	Thioredoxin	P10599	7295	TXN	official_exact	47	1.0	7.282780197506602	True	True	530
C7	Complement component C7	P10643	730	C7	official_exact	4	0.0851063829787234	5.134693765355304	True	False	532
C8A	Complement component C8 alpha chain	P07357	731	C8A	official_exact	9	0.19148936170212766	3.742345212995121	True	False	434
UBA1	Ubiquitin-like modifier-activating enzyme 1;Isoform 2 of Ubiquitin-like modifier-activating enzyme 1	P22314;P22314-2	7317	UBA1	official_exact	36	0.7659574468085106	4.827057154426272	True	True	691
C8B	Complement component C8 beta chain	P07358	732	C8B	official_exact	8	0.1702127659574468	5.394791543562025	True	False	435
C8G	Complement component C8 gamma chain	P07360	733	C8G	official_exact	8	0.1702127659574468	5.943393045827949	True	False	436
UBE2L3	Ubiquitin-conjugating enzyme E2 L3;Isoform 2 of Ubiquitin-conjugating enzyme E2 L3;Isoform 3 of Ubiquitin-conjugating enzyme E2 L3	P68036;P68036-2;P68036-3	7332	UBE2L3	official_exact	9	0.19148936170212766	5.335717593707495	True	False	1077
UBE2N	Ubiquitin-conjugating enzyme E2 N	P61088	7334	UBE2N	official_exact	14	0.2978723404255319	5.246591490522112	True	False	1010
UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3	P15374	7347	UCHL3	official_exact	3	0.06382978723404255	4.710167734993869	True	False	612
UPK1B	Uroplakin-1b	O75841	7348	UPK1B	official_exact	15	0.3191489361702128	4.707391151548162	True	False	205
C9	Complement component C9	P02748	735	C9	official_exact	36	0.7659574468085106	5.197940872588275	True	True	337
UGP2	UTP--glucose-1-phosphate uridylyltransferase;Isoform 2 of UTP--glucose-1-phosphate uridylyltransferase	Q16851;Q16851-2	7360	UGP2	official_exact	13	0.2765957446808511	4.742668397148376	True	False	1286
UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	P31930	7384	UQCRC1	official_exact	9	0.19148936170212766	3.6279685287256833	True	False	790
UQCRC2	Cytochrome b-c1 complex subunit 2, mitochondrial	P22695	7385	UQCRC2	official_exact	5	0.10638297872340426	4.14152000806966	True	False	697
VCL	Vinculin;Isoform 1 of Vinculin	P18206;P18206-2	7414	VCL	official_exact	34	0.723404255319149	4.782857711450946	True	True	646
VCP	Transitional endoplasmic reticulum ATPase	P55072	7415	VCP	official_exact	37	0.7872340425531915	4.961962036652918	True	True	976
VDAC1	Voltage-dependent anion-selective channel protein 1	P21796	7416	VDAC1	official_exact	13	0.2765957446808511	4.666902598866187	True	False	684
VDAC2	Voltage-dependent anion-selective channel protein 2;Isoform 1 of Voltage-dependent anion-selective channel protein 2;Isoform 2 of Voltage-dependent anion-selective channel protein 2	P45880;P45880-1;P45880-2	7417	VDAC2	official_exact	7	0.14893617021276595	4.5507835332433055	True	False	875
VEGFB	Vascular endothelial growth factor B;Isoform VEGF-B167 of Vascular endothelial growth factor B	P49765;P49765-2	7423	VEGFB	official_exact	7	0.14893617021276595	4.620274425587046	True	False	917
EZR	Ezrin	P15311	7430	EZR	official_exact	45	0.9574468085106383	5.11178837249029	True	True	610
VIM	Vimentin	P08670	7431	VIM	official_exact	36	0.7659574468085106	5.503092112128185	True	True	470
VTN	Vitronectin	P04004	7448	VTN	official_exact	47	1.0	5.950958340550979	True	True	357
WARS1	Tryptophan--tRNA ligase, cytoplasmic;Isoform 2 of Tryptophan--tRNA ligase, cytoplasmic	P23381;P23381-2	7453	WARS1	official_exact	11	0.23404255319148937	4.325010168910233	True	False	706
EIF4H	Eukaryotic translation initiation factor 4H;Isoform Short of Eukaryotic translation initiation factor 4H	Q15056;Q15056-2	7458	EIF4H	official_exact	12	0.2553191489361702	5.235943890059936	True	False	1245
XPNPEP1	Xaa-Pro aminopeptidase 1;Isoform 2 of Xaa-Pro aminopeptidase 1;Isoform 3 of Xaa-Pro aminopeptidase 1;Isoform 4 of Xaa-Pro aminopeptidase 1	Q9NQW7;Q9NQW7-2;Q9NQW7-3;Q9NQW7-4	7511	XPNPEP1	official_exact	1	0.02127659574468085	3.603394983721526	True	False	1582
YWHAB	14-3-3 protein beta/alpha;Isoform Short of 14-3-3 protein beta/alpha	P31946;P31946-2	7529	YWHAB	official_exact	25	0.5319148936170213	5.224731551903281	True	True	795
YWHAE	14-3-3 protein epsilon	P62258	7531	YWHAE	official_exact	45	0.9574468085106383	4.874131961349327	True	True	1030
YWHAG	14-3-3 protein gamma	P61981	7532	YWHAG	official_exact	18	0.3829787234042553	3.727261290936638	True	False	1025
YWHAH	14-3-3 protein eta	Q04917	7533	YWHAH	official_exact	18	0.3829787234042553	4.770049993141356	True	False	1137
YWHAZ	14-3-3 protein zeta/delta	P63104	7534	YWHAZ	official_exact	46	0.9787234042553191	6.217895366757051	True	True	1066
PTTG1IP	Pituitary tumor-transforming gene 1 protein-interacting protein	P53801	754	PTTG1IP	official_exact	11	0.23404255319148937	4.758137902214751	True	False	962
CNBP	Cellular nucleic acid-binding protein;Isoform 2 of Cellular nucleic acid-binding protein;Isoform 3 of Cellular nucleic acid-binding protein;Isoform 7 of Cellular nucleic acid-binding protein	P62633;P62633-2;P62633-3;P62633-7	7555	CNBP	official_exact	2	0.0425531914893617	3.328865689124976	True	False	1040
CA2	Carbonic anhydrase 2	P00918	760	CA2	official_exact	15	0.3191489361702128	3.682842460704821	True	False	264
CA6	Carbonic anhydrase 6;Isoform 3 of Carbonic anhydrase 6	P23280;P23280-3	765	CA6	official_exact	21	0.44680851063829785	4.881074741357023	True	False	703
PSAPL1	Proactivator polypeptide-like 1	Q6NUJ1	768239	PSAPL1	official_exact	40	0.851063829787234	6.122322973634171	True	True	1317
ZNF185	Zinc finger protein 185;Isoform 2 of Zinc finger protein 185;Isoform 3 of Zinc finger protein 185;Isoform 4 of Zinc finger protein 185;Isoform 5 of Zinc finger protein 185;Isoform 6 of Zinc finger protein 185;Isoform 7 of Zinc finger protein 185;Isoform 8 of Zinc finger protein 185;Isoform 9 of Zinc finger protein 185	O15231;O15231-2;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8;O15231-9	7739	ZNF185	official_exact	6	0.1276595744680851	3.652306385236466	True	False	124
ZYX	Zyxin;Isoform 2 of Zyxin	Q15942;Q15942-2	7791	ZYX	official_exact	3	0.06382978723404255	4.394717940475037	True	False	1271
DDR1	Epithelial discoidin domain-containing receptor 1;Isoform 2 of Epithelial discoidin domain-containing receptor 1;Isoform 4 of Epithelial discoidin domain-containing receptor 1;Isoform 5 of Epithelial discoidin domain-containing receptor 1	Q08345;Q08345-2;Q08345-5;Q08345-6	780	DDR1	official_exact	32	0.6808510638297872	4.13373426460259	True	True	1152
MOGS	Mannosyl-oligosaccharide glucosidase;Isoform 2 of Mannosyl-oligosaccharide glucosidase	Q13724;Q13724-2	7841	MOGS	official_exact	35	0.7446808510638298	4.9596484305634405	True	True	1201
MANF	Mesencephalic astrocyte-derived neurotrophic factor	P55145	7873	MANF	official_exact	8	0.1702127659574468	4.042213567200497	True	False	978
RAB7A	Ras-related protein Rab-7a	P51149	7879	RAB7A	official_exact	26	0.5531914893617021	4.80447876986506	True	True	937
CRELD1	Protein disulfide isomerase CRELD1;Isoform 2 of Protein disulfide isomerase CRELD1	Q96HD1;Q96HD1-2	78987	CRELD1	official_exact	14	0.2978723404255319	3.586565238249084	True	False	1463
METRN	Meteorin	Q9UJH8	79006	METRN	official_exact	7	0.14893617021276595	3.0172643002853956	True	False	1646
GGCT	Gamma-glutamylcyclotransferase	O75223	79017	GGCT	official_exact	43	0.9148936170212766	5.794183413856508	True	True	180
AHNAK	Neuroblast differentiation-associated protein AHNAK	Q09666	79026	AHNAK	official_exact	37	0.7872340425531915	5.159044736811798	True	True	1158
REEP5	Receptor expression-enhancing protein 5	Q00765	7905	REEP5	official_exact	2	0.0425531914893617	4.492037131502847	True	False	1111
TMEM109	Transmembrane protein 109	Q9BVC6	79073	TMEM109	official_exact	16	0.3404255319148936	4.731607010796996	True	False	1520
SARG	Specifically androgen-regulated gene protein	Q9BW04	79098	C1orf116	unique_synonym	4	0.0851063829787234	3.1809948856746137	True	False	1521
GDPD3	Lysophospholipase D GDPD3;Isoform 2 of Lysophospholipase D GDPD3	Q7L5L3;Q7L5L3-1	79153	GDPD3	official_exact	10	0.2127659574468085	4.483014388605897	True	False	1342
GNPTAB	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	Q3T906	79158	GNPTAB	official_exact	15	0.3191489361702128	5.420004140581992	True	False	1295
EFHD2	EF-hand domain-containing protein D2	Q96C19	79180	EFHD2	official_exact	19	0.40425531914893614	4.525083215182903	True	False	1454
TMEM43	Transmembrane protein 43	Q9BTV4	79188	TMEM43	official_exact	3	0.06382978723404255	3.634612331176753	True	False	1516
DDX39B	Spliceosome RNA helicase DDX39B;Isoform 2 of Spliceosome RNA helicase DDX39B	Q13838;Q13838-2	7919	DDX39B	official_exact	3	0.06382978723404255	6.23048314577574	True	False	1205
GLB1L	Beta-galactosidase-1-like protein;Isoform 2 of Beta-galactosidase-1-like protein	Q6UWU2;Q6UWU2-2	79411	GLB1L	official_exact	18	0.3829787234042553	5.575673004184059	True	False	1324
VTCN1	V-set domain-containing T-cell activation inhibitor 1	Q7Z7D3	79679	VTCN1	official_exact	31	0.6595744680851063	5.299341073251708	True	True	1351
STEAP4	Metalloreductase STEAP4	Q687X5	79689	STEAP4	official_exact	33	0.7021276595744681	5.6074927550251505	True	True	1309
GAL3ST4	Galactose-3-O-sulfotransferase 4	Q96RP7	79690	GAL3ST4	official_exact	4	0.0851063829787234	2.5431921186841944	True	False	1481
VPS37B	Vacuolar protein sorting-associated protein 37B	Q9H9H4	79720	VPS37B	official_exact	24	0.5106382978723404	3.6078014134491534	True	True	1557
MYH14	Isoform 2 of Myosin-14;Isoform 6 of Myosin-14	Q7Z406-2;Q7Z406-6	79784	MYH14	official_exact	34	0.723404255319149	4.492136298460085	True	True	1347
TFPI2	Tissue factor pathway inhibitor 2;Isoform 2 of Tissue factor pathway inhibitor 2	P48307;P48307-2	7980	TFPI2	official_exact	1	0.02127659574468085	3.404901694704467	True	False	892
PLBD1	Phospholipase B-like 1	Q6P4A8	79887	PLBD1	official_exact	22	0.46808510638297873	5.2042883225739125	True	False	1318
MAB21L4	Protein mab-21-like 4	Q08AI8	79919	MAB21L4	official_exact	6	0.1276595744680851	4.835985192242776	True	False	1156
KIAA0319L	Dyslexia-associated protein KIAA0319-like protein;Isoform 2 of Dyslexia-associated protein KIAA0319-like protein	Q8IZA0;Q8IZA0-2	79932	KIAA0319L	official_exact	38	0.8085106382978723	4.853829553159627	True	True	1375
POF1B	Protein POF1B;Isoform 1 of Protein POF1B	Q8WVV4;Q8WVV4-1	79983	POF1B	official_exact	13	0.2765957446808511	4.565655760390151	True	False	1422
PSCA	Prostate stem cell antigen	O43653	8000	PSCA	official_exact	26	0.5531914893617021	5.049196093811906	True	True	148
UXS1	UDP-glucuronic acid decarboxylase 1;Isoform 2 of UDP-glucuronic acid decarboxylase 1	Q8NBZ7;Q8NBZ7-2	80146	UXS1	official_exact	8	0.1702127659574468	3.946846605257126	True	False	1390
SPG11	Spatacsin;Isoform 2 of Spatacsin;Isoform 3 of Spatacsin	Q96JI7;Q96JI7-2;Q96JI7-3	80208	SPG11	official_exact	42	0.8936170212765957	16.40987596510268	True	True	1468
CCDC6	Coiled-coil domain-containing protein 6	Q16204	8030	CCDC6	official_exact	5	0.10638297872340426	4.469851072527999	True	False	1273
COL18A1	Collagen alpha-1(XVIII) chain;Isoform 2 of Collagen alpha-1(XVIII) chain;Isoform 3 of Collagen alpha-1(XVIII) chain	P39060;P39060-1;P39060-2	80781	COL18A1	official_exact	35	0.7446808510638298	4.774951902136689	True	True	847
ACTN4	Alpha-actinin-4	O43707	81	ACTN4	official_exact	45	0.9574468085106383	5.180581492253116	True	True	149
CALML3	Calmodulin-like protein 3	P27482	810	CALML3	official_exact	32	0.6808510638297872	5.889126191954048	True	True	735
CALR	Calreticulin	P27797	811	CALR	official_exact	47	1.0	5.536784340890879	True	True	739
ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A	P39687	8125	ANP32A	official_exact	7	0.14893617021276595	4.431211667489102	True	False	849
CALU	Calumenin;Isoform 3 of Calumenin	O43852;O43852-3	813	CALU	official_exact	47	1.0	6.352103520309297	True	True	155
GAN	Gigaxonin	Q9H2C0	8139	GAN	official_exact	2	0.0425531914893617	4.591251520209646	True	False	1542
HM13	Minor histocompatibility antigen H13;Isoform 2 of Minor histocompatibility antigen H13;Isoform 4 of Minor histocompatibility antigen H13;Isoform 5 of Minor histocompatibility antigen H13	Q8TCT9;Q8TCT9-2;Q8TCT9-4;Q8TCT9-5	81502	HM13	official_exact	9	0.19148936170212766	3.636610682447286	True	False	1410
ITFG1	T-cell immunomodulatory protein	Q8TB96	81533	ITFG1	official_exact	35	0.7446808510638298	4.254840485661159	True	True	1409
TXNDC5	Thioredoxin domain-containing protein 5;Isoform 2 of Thioredoxin domain-containing protein 5	Q8NBS9;Q8NBS9-2	81567	TXNDC5	official_exact	41	0.8723404255319149	5.6818803955064485	True	True	1389
MIA	Melanoma-derived growth regulatory protein	Q16674	8190	MIA	official_exact	3	0.06382978723404255	4.328895390542554	True	False	1281
CAMP	Cathelicidin antimicrobial peptide	P49913	820	CAMP	official_exact	22	0.46808510638297873	5.018238727266258	True	False	922
GDF5	Growth/differentiation factor 5	P43026	8200	GDF5	official_exact	6	0.1276595744680851	4.330169011082335	True	False	868
CANX	Calnexin;Isoform 2 of Calnexin	P27824;P27824-2	821	CANX	official_exact	15	0.3191489361702128	4.036961532477803	True	False	741
CAPG	Macrophage-capping protein;Isoform 2 of Macrophage-capping protein	P40121;P40121-2	822	CAPG	official_exact	35	0.7446808510638298	4.663588287856878	True	True	850
CAPN1	Calpain-1 catalytic subunit	P07384	823	CAPN1	official_exact	36	0.7659574468085106	4.936514465880094	True	True	437
CAPN2	Calpain-2 catalytic subunit	P17655	824	CAPN2	official_exact	20	0.425531914893617	4.789426538975956	True	False	636
CAPNS1	Calpain small subunit 1	P04632	826	CAPNS1	official_exact	38	0.8085106382978723	5.384084032370732	True	True	377
CAPS	Calcyphosin;Isoform 3 of Calcyphosin	Q13938;Q13938-4	828	CAPS	official_exact	19	0.40425531914893614	4.413558464758747	True	False	1208
CAPZA1	F-actin-capping protein subunit alpha-1	P52907	829	CAPZA1	official_exact	30	0.6382978723404256	5.070692268131996	True	True	957
CAPZA2	F-actin-capping protein subunit alpha-2	P47755	830	CAPZA2	official_exact	21	0.44680851063829785	5.261789775317387	True	False	883
CAST	Isoform 10 of Calpastatin;Isoform 5 of Calpastatin;Isoform 6 of Calpastatin;Isoform 7 of Calpastatin;Isoform 9 of Calpastatin	P20810-10;P20810-5;P20810-6;P20810-7;P20810-9	831	CAST	official_exact	17	0.3617021276595745	4.30648034262984	True	False	672
CAPZB	Isoform 2 of F-actin-capping protein subunit beta	P47756-2	832	CAPZB	official_exact	34	0.723404255319149	5.122138763552089	True	True	884
FZD1	Frizzled-1	Q9UP38	8321	FZD1	official_exact	9	0.19148936170212766	5.3419901379092085	True	False	1666
FCRL5	Fc receptor-like protein 5;Isoform 3 of Fc receptor-like protein 5	Q96RD9;Q96RD9-3	83416	FCRL5	official_exact	6	0.1276595744680851	3.748475344077664	True	False	1479
SH3BGRL3	SH3 domain-binding glutamic acid-rich-like protein 3	Q9H299	83442	SH3BGRL3	official_exact	28	0.5957446808510638	4.958139583554667	True	True	1541
EPPK1	Epiplakin	P58107	83481	EPPK1	official_exact	43	0.9148936170212766	7.015930699587056	True	True	991
H4C1	Histone H4	P62805	8359	H4C1	official_exact	45	0.9574468085106383	7.075754142936662	True	True	1046
CRISPLD1	Cysteine-rich secretory protein LCCL domain-containing 1	Q9H336	83690	CRISPLD1	official_exact	31	0.6595744680851063	4.214472245474962	True	True	1545
TMPRSS13	Transmembrane protease serine 13;Isoform 2 of Transmembrane protease serine 13;Isoform 3 of Transmembrane protease serine 13;Isoform 6 of Transmembrane protease serine 13	Q9BYE2;Q9BYE2-2;Q9BYE2-3;Q9BYE2-6	84000	TMPRSS13	official_exact	21	0.44680851063829785	4.360162569603003	True	False	1528
SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein;Isoform 2 of Mitochondrial 2-oxoglutarate/malate carrier protein	Q02978;Q02978-2	8402	SLC25A11	official_exact	2	0.0425531914893617	1.8696538823587505	True	False	1129
SPARCL1	SPARC-like protein 1	Q14515	8404	SPARCL1	official_exact	45	0.9574468085106383	6.208671515869414	True	True	1229
ADGRV1	Adhesion G-protein coupled receptor V1;Isoform 2 of Adhesion G-protein coupled receptor V1	Q8WXG9;Q8WXG9-2	84059	ADGRV1	official_exact	44	0.9361702127659575	8.05872663659143	True	True	1427
